original_id,ext_disease,ext_symptoms,ext_drugs,ext_department,ext_alias,error
0,乙型肝炎小三阳,,乙肝病毒口服药物,肝病科,乙肝小三阳,
1,乙肝小三阳,"病毒量低位, 肝功能正常",,感染科,乙型肝炎，小三阳,
2,肝病,"过量排便, 肝脏代谢压力增大, 消化不良",,消化内科,肝脏疾病,
3,体质虚弱,,感冒疫苗,内科,,
4,感冒,感冒的早期症状,"清肺凉血药物, 清热解毒药物",呼吸科,普通感冒,
5,胃肠型感冒,"特别冷, 发烫","抗菌药物, 清肺药物",内科,胃肠型流感,
6,支气管炎,"感冒, 咳嗽, 体温下降","抗菌药物, 清肺凉血药物",儿科,感冒咳引起的支气管炎,
7,感冒,咳嗽无痰,"复方感冒灵片, 抗病毒口服液, 蛇胆川贝液",呼吸内科,"感冒,上呼吸道感染",
8,感冒,"咳嗽, 痰","清开灵, 双黄连口服液, 氨溴索",呼吸科,普通感冒,
9,感冒,"咳嗽, 痰多, 流水样鼻涕",感冒药,儿科,普通感冒,
10,感冒,感冒症状,莲花清瘟,内科,普通感冒,
11,呼吸系统感染,"咳嗽, 有痰","连花清瘟胶囊, 扑尔敏片, 氨溴索口服液",呼吸内科,"感冒, 咽喉炎, 扁桃体炎, 上呼吸道感染, 支气管炎, 肺炎",
12,风寒感冒,"咳嗽, 咳白痰, 痰多色白量多, 胸脘作闷, 鼻塞, 流清涕, 全身酸痛, 易疲劳","杏苏散, 二陈丸",呼吸内科,感冒,
13,感冒咳嗽,"咳嗽, 发热","布洛芬, 对乙酰氨基酚, 小儿氨酚黄纳米颗粒",儿科,感冒,
14,感冒咳,"咳嗽, 胸部麻木","甘草片, 清肺糖浆",呼吸科,感冒引起的咳嗽,
15,感冒,咳嗽,"中成感冒药, 抗病毒口服液, 蛇胆川贝液",呼吸科,病毒性上呼吸道感染,
16,孕早期感冒,"发烧, 咳嗽",,产科,孕期感冒,
17,感冒咳,"咳, 流鼻涕, 打嗝, 无发烧","美敏伪麻口服液, 氯雷他定分散片, 复方右美沙芬清肺糖浆",呼吸科,咳嗽感冒,
18,感冒咳,"感冒, 咳嗽, 受寒, 抵抗力差","头孢克洛颗粒, 氨溴索颗粒, 蛇胆川贝液",儿科,感冒，上呼吸道感染,
19,肺部感染或炎症,"咳嗽, 痰多, 喉咙不适, 呼吸困难","琥乙红霉素片, 复方甘草片, 氨溴索口服液, 清肺凉血中药, 润肺中药",呼吸科,肺炎或呼吸道感染,
20,小儿支气管炎,,"小儿清肺凉血口服液, 橘红颗粒, 阿莫西林, 头孢氨苄",儿科,,
21,支气管肺炎,"咳, 有痰, 喘","小儿橘红颗粒, 阿奇霉素, 百蕊颗粒, 头孢氨苄, 氨溴索口服液, 孟鲁司特咀嚼片",呼吸科,,
22,支气管炎,"传染因素, 细菌感染, 病毒感染, 支原体感染, 反复发生, 咳嗽, 呼吸道症状",,呼吸科,,
23,支气管炎,"咳嗽, 咳痰, 呼吸困难, 胸闷","阿莫西林, 头孢, 奥司他韦, 阿奇霉素",呼吸科,支气管炎,
24,支气管炎,咳痰,"小儿清肺凉血口服液, 铺地蓝口服液",呼吸科,支气管炎,
25,小儿支气管炎,咳嗽,"氨溴特罗口服液, 达力芬",儿科,儿童支气管炎,
26,小儿支气管炎,"炎症, 传染, 寒冷刺激易感, 饮食需清淡, 需多喝热水","小儿清肺凉血口服液, 阿莫西林, 头孢克肟",儿科,支气管炎,
27,感冒咳嗽,"咳嗽, 胸部麻木","甘草片, 清肺糖浆",呼吸科,感冒咳,
28,感冒,"咳嗽, 咳, 感冒相关症状",,呼吸科,感冒,
29,支原体感染引起的呼吸道感染,"刺激性咳嗽, 晚上咳嗽加重",,小儿科,支原体感染,
30,感冒,"咳嗽, 鼻塞, 高热","抗病毒药物, 速效, 酚麻美敏混悬液, 柴胡针, 清开灵, 尼美舒利, 金银花",内科,风热感冒,
31,感冒,"咳嗽, 感冒症状","中药, 冰糖梨水",产科,普通感冒,
32,感染性疾病,"发热, 乏力","抗生素, 中成药",内科,感染,
33,感冒咳嗽,"咳嗽, 痰多",,妇产科,孕期感冒,
34,感冒,感冒症状,"清肺凉血药, 清热解毒药",内科,早期症,
35,感冒,"感冒, 咳嗽","姜红糖水, 大蒜水",内科,风寒感冒，普通感冒,
36,咳嗽,咳嗽,"抗病毒药物, 消炎药",呼吸科,咳,
37,流感,"发热, 嗓子疼痛","氨酚脘氨, 头孢类, 清热解毒的中成药",内科,感冒,
38,呼吸系统感染（感冒及可能的细菌性支气管炎等）,"发热, 咳嗽","感冒药, 抗病毒药物, 消炎药, 化痰止咳药",呼吸科,"感冒,咽喉炎,尿道炎,细菌性支气管炎",
39,肺部肿瘤,"血性痰, 咳嗽, 咳痰, 胸部疼痛, 用力咳血, 口腔出血, 咽喉部粘膜伤损出血",,口腔科,,
40,哮喘,"打嗝, 流鼻涕, 流眼泪, 咳嗽气喘, 呼吸困难, 过敏刺激","小儿氨酚黄那敏颗粒, 抗过敏药物",儿科,"哮喘,过敏性哮喘",
41,糖尿病,血糖偏高,口服降糖药,内分泌科,糖尿病患者,
42,糖尿病,"三多一少, 喝水多, 小便多, 饭量大, 体重减轻",降糖药,内分泌科,血糖异常下降相关症状,
43,糖尿病,,"二甲双胍, 格列比嗪, 瑞格列奈",内分泌科,糖尿病,
44,糖尿病,,"胰岛素, 口服降糖药物",内分泌科,糖尿病,
45,糖尿病,"多饮, 多尿, 多食, 消瘦, 疲乏无力",,内分泌科,代谢性疾病,
46,糖尿病,"高血糖, 多饮, 多尿, 多食, 消瘦","降糖药物, 胰岛素",内分泌科,"diabetes mellitus, 糖尿病",
47,糖尿病,"血管损伤, 神经损伤, 皮肤损伤, 内脏损伤, 眼睛损伤, 脚部损伤",,内分泌科,糖尿病慢性并发症,
48,糖尿病,"高血糖, 心脏疾病, 脑血管疾病, 肾脏疾病, 眼底病变, 周围血管疾病","口服降糖药, 胰岛素, 茯苓",内分泌科,胰岛素不足引起的内分泌代谢疾病,
49,糖尿病,"高血糖, 多饮, 多食, 多尿, 体重下降, 眼、肾、心脏、血管、神经慢性损害",,内分泌科,高血糖病,
50,糖尿病,"胰岛素排泄不足, 靶组织细胞胰岛素敏感性降低, 蛋白质分解代谢紊乱, 脂肪分解代谢紊乱, 水和电解质分解代谢紊乱",,内分泌科,"糖尿病,1型糖尿病",
