department,title,ask,answer
肝病科,小三阳咋样子的医治好？,我作血清检验有小三阳，但总胆红素8.0丙氨酸转氨酶51H您好怎么治疗为好,如果检验乙肝两对半是小三阳，建议去医院做乙肝病毒DNA指数仔细检查，如果乙肝病毒DNA指数高。需要有口服乙肝病毒的药物治疗。不定期复检病毒指数。除了治疗肝病外，建议患者在日常生活中要留意饮食，并且要始终保持愉快的心情，以此来增强体质放慢康复速度。
肝病科,我想了解乙肝小三阳要治疗吗？,乙肝小三阳患者，肝功能正常，乙肝表面抗原>250lU/Ml，乙肝e抗体0.08S/CO，乙肝核心抗体7.57S/CO，DNA病毒1.79*10^4，其它的都正常需要有实施抗病毒治疗吗？这种情况下吃中药可以把病毒降下来吗？,根据你给出的问题，乙肝小三阳患者病毒量在低位，目前肝功能正常，可以暂时不考虑抗病毒治疗，留意歇息，不定期复检就可以。目前来说中药还不能够使乙肝表面抗原转阴，或者是减低病毒量，有不确定性，而且中药也可能会额外的引发肝脏伤损，一定不可以擅自服食。乙肝这种疾病不易全愈。患者朋友理应保持良好的心态，用积极的心态去直面它，只有这样才能降低患者抗衡乙肝的信心，认为这样一定能获得康复。
感染科,丙型病毒性肝炎吃什么好？,姐姐患丙型病毒性肝已经治疗了很长的时但是现在的情况还不是很稳您好丙型病毒性肝炎吃什么好一些？,饮食不宜过防止过量排便肝脏是人体重要的分解代谢和驱毒器官。肝病肝细胞的分解代谢和修补需要有营养和优质食物但营养必须适当平衡。过量饮食往往致使消化不不可避免地增强了胃、肠、肝、脾、胰腺等消化器官和组织的压同时也增强了压力。祝患者身体早日恢复健康！
呼吸科,经常感冒咳嗽反反复复要如何治疗？,由于天气原得了感冒。吃了药后会有所转但是隔段时间就会病发。一直这样反反复复。想问下经常感咳反反复复病发该怎么办？,根据你所叙述的情况来可能会是由于体质虚弱的原建议去医院实施仔细检查接种疫苗感冒疫苗。同积极举办户外活以增加个人抵抗力。根据天气的变动及时多寡衣防止着饮食以清淡的食物为基础。平时留意增加身体的免疫锻炼身体是增强体质最有效的方法。恰当规划作不加班。经常加班可以降低人体的免疫力。
呼吸科,感冒咳嗽吐沫多没有鼻涕怎么回事？,我应当被我的同事传他们都感冒因为今天我总觉着我咳和吐痰许但没流鼻涕。我只是觉着虚弱和头痛。我不想说话。我想问咳和吐痰可有流鼻涕。我应当吃什么药？,你也传染了这种情有点感冒的早期症可以口服清肺凉血和清热解毒的药物治疗。或者做雾化吸进疗或者去专业按摩店做推拿。留意歇少培多喝白开水。多吃蔬菜和水多吃有营养的食少吃油腻和辛辣的食物。留意消化足够多的营生病期间对营养素的需要量相对较营养不抵抗力就比较所以一定要办到营养均衡。
呼吸科,感冒咳嗽发烧呕吐怎么办？,今天早晨的时候，我就觉着浑身无力，起不来。本来以为只是感冒了，就吃了一点儿感冒药。但是到傍晚的时候，觉着特别冷，一量体温，发烧了。您好，感冒咳发烧干呕怎么办呢？,你目前再次出现特别冷，主要考虑就是发烫致使再次出现的情况的，目前的症状主要考虑就是有一定的胃肠型感冒的表现出的，建议你实施一下肺部的胸片和c反映蛋白以及血常规等各方面的化验仔细检查，就可以明确一下具体的原因等，然后针对性运用抗菌药物和清肺的药物等，实施对症治疗的
呼吸科,小孩感冒咳嗽发烧怎么办?,我儿子今年5岁，最近不知晓婆婆带他去哪里玩，回去之后就感冒咳发烧，夜间咳嗽的特别严重，吃了药都不见踪影好，您好医生，这种小孩感冒咳发烧怎么办?,五岁的孩子再次出现的感冒咳，体温下降的表现出，这种情况应当考虑的是支气管炎引来的可能性，这种情况恰当的使用抗菌药物，清肺凉血药物的关键的，但是应当在医师的指导下服食以上的药物，留意孩子的体温变动，多给孩子喝水，必要时实施儿科的仔细检查。祝健康。
呼吸科,感冒咳嗽无痰该怎么治疗？,这两天我因为淋雨感冒了，感冒引来了咳但是没痰，感冒咳无痰该怎么治疗？,因为淋雨再次出现了感冒了，感冒引来的咳无痰也拥有是感冒的个症状，因为感冒多是病毒性引来的上呼吸道感染，建议你使用复方感冒灵片，抗病毒口服液，蛇胆川贝液等，具体用药谨遵医嘱，要多留意喝水，尽量不要吃干热闹肚子和刺激性的东西。祝福患者早日康复，拥有健康的身体和美好的生活。
呼吸科,感冒咳嗽能吃什么可以缓解？,感冒咳能吃什么可以缓解？,感冒引来来的咳，这个情况可以喝点清开灵，或者是双黄连口服液，如果咳有痰，那可以互相配合氨溴索两块吃，这个期间应当留意防寒，留意多喝热水，不要吃太油腻的食物，不要吃辛辣的食物，以免影响呼吸道致使，气管炎或者肺炎的再次发生。留意清淡饮食。祝健康。
呼吸科,宝宝感冒咳嗽痰多流水样鼻涕应该怎么办？,我有个朋友的孩子，就是最近一段时间天气不是很好，然后不小心感冒了，我觉着孩子挺严重的，我想问问医生，宝宝十个月了，因感冒咳，痰多，流水样鼻涕，应当怎么办？,亲爱的咨询者您好，宝宝咳嗽痰多流水样鼻涕，可以决定合适的感冒药物对症治疗，还可以互相配合许多食疗的方法比如说使用冰糖梨川贝煮水喝，大蒜冰糖煮水，防止孩子着凉，对症治疗，仔细观察几天，如果症状持继的不稳定，需要有到医院做一下仔细检查，然后再给与治疗。
